ID,所属游戏,标题,别名,编码,所属期数,第一張卡url,最後一張卡url,備註,如何找尋卡片 url ?,
,1,2019聖誕黃金禮盒,LGB1,LGB1,-1,https://www.cardrush.jp/phone/product/37318,https://www.cardrush.jp/phone/product/37365,,1. 先網路上搜尋此系列的開始卡號 & 結束卡號,
,1,2021聖誕銀密閃盒,SSB1,SSB1,-1,https://www.cardrush.jp/phone/product/54003,https://www.cardrush.jp/phone/product/54075,,2. 去 card rush 中在 url 使用 key_word=卡號快速定位到最後一張卡,https://www.cardrush.jp/phone/product-list/0/0/photo?keyword=20th-jpb&num=100&img=120&order=desc&page=1
,1,2022聖誕祕鑽百寶盒,SUB1,SUB1,-1,https://www.cardrush.jp/phone/product/61707,https://www.cardrush.jp/phone/product/61810,,,
,1,2022聖誕銀密閃盒第二彈,DR02,DR02,-1,https://www.cardrush.jp/phone/product/56644,https://www.cardrush.jp/phone/product/56768,這彈有問題 沒圖,,
,1,20週年紀念決鬥者禮盒,20TH-JPB,20TH-JPB,-1,https://www.cardrush.jp/phone/product/26026,https://www.cardrush.jp/phone/product/26067,,3. 比較此卡號的卡片 url 後面的數字 連號的 最小(大)，填入欄位,
,1,20週年紀念傳說收藏包,20TH-JPC,20TH-JPC,-1,https://www.cardrush.jp/phone/product/27746,https://www.cardrush.jp/phone/product/27945,,例如：以 LBG1-JP040 為例。我們要填入的是 https://www.cardrush.jp/phone/product/37357,
,1,25週年海馬手提箱禮盒,KC01,KC01,-1,https://www.cardrush.jp/phone/product/56816,https://www.cardrush.jp/phone/product/56876,,因為這是連號中的最後一號。（另外兩張的編號是card rush 後補上的卡片，我們不要）,
,1,PP大會包,19PP,19PP,-1,https://www.cardrush.jp/phone/product/25966,https://www.cardrush.jp/phone/product/26025,,,
,1,PP大會包,20PP,20PP,-1,https://www.cardrush.jp/phone/product/37392,https://www.cardrush.jp/phone/product/37451,,,
,1,PP大會包,21PP,21PP,-1,https://www.cardrush.jp/phone/product/46852,https://www.cardrush.jp/phone/product/46915,,,
,1,PP大會包,22PP,22PP,-1,https://www.cardrush.jp/phone/product/53924,https://www.cardrush.jp/phone/product/53989,,,
,1,PP大會包,23PP,23PP,-1,https://www.cardrush.jp/phone/product/61489,https://www.cardrush.jp/phone/product/61612,,,
,1,PP大會包,PP1,PP1,-1,沒找到,沒找到,沒找到,,
,1,PP大會包,PP10,PP10,-1,沒找到,沒找到,沒找到,,
,1,PP大會包,PP11,PP11,-1,https://www.cardrush.jp/phone/product/3838,無法,只有一張卡,,
,1,PP大會包,PP12,PP12,-1,https://www.cardrush.jp/phone/product/8749,無法,只有一張卡,,
,1,PP大會包,PP13,PP13,-1,https://www.cardrush.jp/phone/product/19717,無法,跨號超遠,,
,1,PP大會包,PP14,PP14,-1,https://www.cardrush.jp/phone/product/1995,無法,只有兩張卡,,
,1,PP大會包,PP15,PP15,-1,,無法,跨號超遠,,
,1,PP大會包,PP16,PP16,-1,https://www.cardrush.jp/phone/product/29027,https://www.cardrush.jp/phone/product/29029,只有兩張卡,,
,1,PP大會包,PP17,PP17,-1,跨號超遠,跨號超遠,跨號超遠,,
,1,PP大會包,PP18,PP18,-1,跨號超遠,跨號超遠,,,
,1,PP大會包,PP19,PP19,-1,跨號超遠,跨號超遠,,,
,1,PP大會包,PP2,PP2,-1,沒找到,沒找到,沒找到,,
,1,PP大會包,PP20,PP20,-1,https://www.cardrush.jp/phone/product/19517,https://www.cardrush.jp/phone/product/19551,34,,
,1,PP大會包,PP3,PP3,-1,沒找到,沒找到,沒找到,,
,1,PP大會包,PP4,PP4,-1,沒找到,沒找到,沒找到,,
,1,PP大會包,PP5,PP5,-1,沒找到,沒找到,沒找到,,
,1,PP大會包,PP6,PP6,-1,沒找到,沒找到,沒找到,,
,1,PP大會包,PP7,PP7,-1,沒找到,沒找到,沒找到,,
,1,PP大會包,PP8,PP8,-1,沒找到,沒找到,沒找到,,
,1,PP大會包,PP9,PP9,-1,沒找到,沒找到,沒找到,,
,1,十週年紀念包,YAP1,YAP1,-1,跨號超遠,跨號超遠,跨號超遠,,
,1,機甲指令,SD18,SD18,-1,跨號超遠,跨號超遠,跨號超遠,,
,1,惡魔之門,SD21,SD21,-1,跨號超遠,跨號超遠,跨號超遠,,
,1,龍之軍團改版,SD22,SD22,-1,跨號超遠,跨號超遠,跨號超遠,,
,1,海皇咆哮改版,SD23,SD23,-1,跨號超遠,跨號超遠,跨號超遠,,
,1,炎王急襲改版,SD24,SD24,-1,跨號超遠,跨號超遠,跨號超遠,,
,1,青眼龍轟臨,SD25,SD25,-1,跨號超遠,跨號超遠,跨號超遠,,
,1,決鬥始動組,ST14,ST14,-1,跨號超遠,跨號超遠,跨號超遠,,
,1,中文補充包-決鬥者歸來REDU-TC,801,801,-1,沒找到,沒找到,沒找到,,
,1,中文補充包-深淵昇華ABYR-TC,802,802,-1,沒找到,沒找到,沒找到,,
,1,中文補充包-炎星戰士CBLZ-TC,803,803,-1,沒找到,沒找到,沒找到,,
,1,中文補充包-銀河帝王LTGY-TC,804,804,-1,沒找到,沒找到,沒找到,,
,1,中文補充包-黃金包 2014,GS06,GS06,-1,沒找到,沒找到,沒找到,,
,1,中文補充包-決鬥始動包1,SP01,SP01,-1,沒找到,沒找到,沒找到,,
,1,中文補充包-決鬥始動包2,SP02,SP02,-1,沒找到,沒找到,沒找到,,
,1,中文補充包-決鬥始動包3,SP03,SP03,-1,沒找到,沒找到,沒找到,,
,1,決鬥王的記憶禮盒15週年第一彈,15AY-JPA,15AY-JPA,-1,跨越超遠,跨越超遠,跨越超遠,,
,1,決鬥王的記憶禮盒15週年第二彈,15AY-JPB,15AY-JPB,-1,跨越超遠,跨越超遠,跨越超遠,,
,1,決鬥王的記憶禮盒15週年第三彈,15AY-JPC,15AY-JPC,-1,跨越超遠,跨越超遠,跨越超遠,,
,1,決鬥箱2012同捆,DB12,DB12,-1,跨越超遠,跨越超遠,跨越超遠,,
,1,次元盒限量版禮盒,DBLE,DBLE,-1,跨越超遠,跨越超遠,跨越超遠,,
,1,黑暗回歸禮盒,DS13-JPD,DS13-JPD,-1,跨越超遠,跨越超遠,跨越超遠,,
,1,閃電之星禮盒,DS13-JPL,DS13-JPL,-1,跨越超遠,跨越超遠,跨越超遠,,
,1,光之領主裁決版禮盒,DS14-JPL,DS14-JPL,-1,跨越超遠,跨越超遠,跨越超遠,,
,1,機器齒輪騎兵版禮盒,DS14-JPM,DS14-JPM,-1,跨越超遠,跨越超遠,跨越超遠,,
,1,城之內篇VOL1,JY,JY,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,海馬篇VOL1,KA,KA,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,千年盒黃金版禮盒,MB01,MB01,-1,跨越超遠,跨越超遠,跨越超遠,,
,1,貝卡斯,PE,PE,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,恐龍的鼓動,SD09,SD09,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,龍魂之力,SD1,SD1,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,機械的叛亂,SD10,SD10,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,閃光波動,SD11,SD11,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,暗黑的咒縛,SD12,SD12,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,巨龍的復活,SD13,SD13,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,帝王的降臨,SD14,SD14,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,不死的世界,SD15,SD15,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,魔術師的霸者,SD16,SD16,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,戰士的強擊,SD17,SD17,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,機甲指令,SD18,SD18,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,龍盟驅動,SD19,SD19,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,不死的威脅,SD2,SD2,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,失落的聖域,SD20,SD20,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,惡魔之門,SD21,SD21,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,龍之軍勢,SD22,SD22,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,海皇的咆哮,SD23,SD23,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,炎王的急襲,SD24,SD24,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,青眼龍轟臨,SD25,SD25,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,機光龍襲雷,SD26,SD26,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,英雄駕到,SD27,SD27,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,英雄駕到亞洲版,SD27,SD27,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,究極同步,SD28,SD28,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,擺動大師,SD29,SD29,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,灼熱的大地,SD3,SD3,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,擺動支配,SD30,SD30,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,擺動進化,SD31,SD31,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,電子界連結,SD32,SD32,-1,太久遠找不全,太久遠找不全,太久遠找不全,,
,1,電源碼連結,SD33,SD33,-1,https://www.cardrush.jp/phone/product/19485,https://www.cardrush.jp/phone/product/19508,只有23張,,
,1,大師連結,SD34,SD34,-1,https://www.cardrush.jp/phone/product/20436,https://www.cardrush.jp/phone/product/20490,,,
,1,焚魂烈火,SD35,SD35,-1,https://www.cardrush.jp/phone/product/25867,https://www.cardrush.jp/phone/product/25913,,,
